,Year,Country Name,Country Code,Life Expectancy at birth (total years),"Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Weighted World Death
116,2017,Bosnia and Herzegovina,BIH,0.9129234064788814,0.059085841694537344,0.09734513274336283,0.04681504221028395,0.31545615601858235
117,2018,Bosnia and Herzegovina,BIH,0.9145094937165663,0.057971014492753624,0.09513274336283185,0.04604758250191864,0.328978904634889
118,2019,Bosnia and Herzegovina,BIH,0.9161547633138665,0.056856187290969896,0.09292035398230088,0.04528012279355334,0.34256083561081063
119,2020,Bosnia and Herzegovina,BIH,0.91753963052886,0.054626532887402456,0.0907079646017699,0.043745203376822715,0.3611818574414546
120,2016,Botswana,BWA,0.8069869827678297,0.4381270903010033,0.5132743362831858,0.3775901765157329,-3.119450912746666
121,2017,Botswana,BWA,0.814491305967026,0.4258639910813824,0.5088495575221239,0.3668457405986185,-3.031168311156584
122,2018,Botswana,BWA,0.8199715924673855,0.41917502787068006,0.5022123893805309,0.36070606293169605,-2.9678398831423514
123,2019,Botswana,BWA,0.8237237540669836,0.41137123745819393,0.49336283185840707,0.3522640061396776,-2.8881632409833355
124,2020,Botswana,BWA,0.8293026778333682,0.4024526198439242,0.4845132743362831,0.3438219493476592,-2.804430182253966
125,2016,Brazil,BRA,0.8904577827689846,0.16722408026755853,0.22123893805309733,0.1281657712970069,-0.620370277113452
126,2017,Brazil,BRA,0.8931328254235877,0.15384615384615385,0.20575221238938055,0.11818879508825786,-0.504571299789893
127,2018,Brazil,BRA,0.8956895033589605,0.1516164994425864,0.20353982300884954,0.11665387567152723,-0.48477846723886975
128,2019,Brazil,BRA,0.8981633259908722,0.14827201783723523,0.19690265486725664,0.1143514965464313,-0.4464946604710932
129,2020,Brazil,BRA,0.900802859229706,0.14604236343366778,0.19247787610619466,0.11281657712970068,-0.419981804475016
130,2016,Brunei Darussalam,BRN,0.8930618065920496,0.10033444816053512,0.11946902654867257,0.08288564850345356,0.0024432366111474257
131,2017,Brunei Darussalam,BRN,0.8946597303016575,0.10256410256410255,0.1238938053097345,0.08442056792018418,-0.019832162436487888
132,2018,Brunei Darussalam,BRN,0.8962813269551115,0.10479375696767002,0.12831858407079644,0.0859554873369148,-0.042083888540277004
133,2019,Brunei Darussalam,BRN,0.8979147600804888,0.10702341137123746,0.1327433628318584,0.08749040675364543,-0.06432377817214308
134,2020,Brunei Darussalam,BRN,0.8995481932058659,0.10702341137123746,0.13495575221238937,0.08825786646201074,-0.07239735202182007
135,2016,Bulgaria,BGR,0.8855124470606581,0.07246376811594203,0.08628318584070796,0.05909439754412893,0.24535776313013447
136,2017,Bulgaria,BGR,0.8855413165043735,0.06800445930880712,0.08185840707964602,0.056024558710667687,0.2798589418051505
137,2018,Bulgaria,BGR,0.8873023525709698,0.06465997770345595,0.07522123893805309,0.05372217958557175,0.31742996200761164
138,2019,Bulgaria,BGR,0.8867249636966756,0.06131549609810479,0.07079646017699115,0.05065234075211051,0.34909522796105064
139,2020,Bulgaria,BGR,0.8861475748223816,0.056856187290969896,0.0663716814159292,0.04681504221028395,0.38605998715151835
140,2016,Burkina Faso,BFA,0.7143784264421015,0.6488294314381271,0.6128318584070795,0.748273215656178,-5.414868874280104
141,2017,Burkina Faso,BFA,0.7192787258182328,0.6321070234113713,0.6039823008849557,0.7221795855717573,-5.245600565946406
142,2018,Burkina Faso,BFA,0.7240843334189799,0.6176142697881828,0.5907079646017699,0.6968534151957021,-5.0706817607455035
143,2019,Burkina Faso,BFA,0.728854431603958,0.6031215161649944,0.579646017699115,0.6738296239447428,-4.911645149602347
144,2020,Burkina Faso,BFA,0.7336245297889361,0.588628762541806,0.5707964601769911,0.6523407521105141,-4.765385384267706
145,2016,Burundi,BDI,0.7164379725567074,0.4949832775919732,0.5088495575221239,0.4942440521872602,-3.777053463942652
146,2017,Burundi,BDI,0.7208174671682258,0.47603121516165,0.495575221238938,0.4719877206446661,-3.605921509450553
147,2018,Burundi,BDI,0.7249483958693606,0.46042363433667777,0.4823008849557522,0.45280122793553335,-3.4540064394133845
148,2019,Burundi,BDI,0.7289372869074192,0.44481605351170567,0.47123893805309736,0.4343821949347659,-3.3119404140143476
149,2020,Burundi,BDI,0.7331037250243232,0.4303232998885173,0.4623893805309734,0.417498081350729,-3.184703341748548
150,2016,Cabo Verde,CPV,0.8563332342149106,0.17279821627647715,0.2411504424778761,0.13891020721412126,-0.768355354628157
151,2017,Cabo Verde,CPV,0.8589727674537446,0.1616499442586399,0.22566371681415925,0.1289332310053722,-0.6570511955275018
152,2018,Cabo Verde,CPV,0.8614820995014254,0.1516164994425864,0.21238938053097342,0.12125863392171911,-0.563953576663544
153,2019,Cabo Verde,CPV,0.8638375574141068,0.1426978818283166,0.1991150442477876,0.1143514965464313,-0.4763093251716144
154,2020,Cabo Verde,CPV,0.8665007635967871,0.13600891861761424,0.18805309734513273,0.10897927858787412,-0.40559348002533613
155,2016,Cambodia,KHM,0.8164443238343247,0.2898550724637681,0.34513274336283184,0.23254029163468917,-1.7288252177204635
156,2017,Cambodia,KHM,0.8201373030743078,0.27759197324414714,0.32964601769911506,0.22256331542594013,-1.6142379582150923
157,2018,Cambodia,KHM,0.823463351684677,0.2653288740245262,0.3163716814159292,0.21258633921719108,-1.506654797480927
158,2019,Cambodia,KHM,0.8264579790812017,0.25529542920847265,0.3053097345132743,0.20414428242517269,-1.4166392125762572
159,2020,Cambodia,KHM,0.8312162407942568,0.24526198439241917,0.29203539823008845,0.19723714504988485,-1.324362502880386
